日付,基準価額
20190510,12993
20190513,13022
20190514,12797
20190515,12845
20190516,12812
20190517,12838
20190520,12733
20190521,12782
20190522,12893
20190523,12851
20190524,12634
20190527,12665
20190528,12682
20190529,12609
20190530,12713
20190531,12777
20190603,12717
20190604,12799
20190605,12783
20190606,12766
20190607,12778
20190610,12836
20190611,12968
20190612,13134
20190613,13020
20190614,13003
20190617,12932
20190618,12895
20190619,13062
20190620,13169
20190621,13289
20190624,13274
20190625,13286
20190626,13171
20190627,13271
20190628,13363
20190701,13414
20190702,13562
20190703,13461
20190704,13469
20190705,13553
20190708,13548
20190709,13512
20190710,13454
20190711,13479
20190712,13554
20190716,13471
20190717,13531
20190718,13424
20190719,13402
20190722,13456
20190723,13421
20190724,13429
20190725,13411
20190726,13414
20190729,13336
20190730,13369
20190731,13284
20190801,13242
20190802,12841
20190805,12506
20190806,12091
20190807,12194
20190808,12154
20190809,12299
20190813,12036
20190814,12118
20190815,11900
20190816,11920
20190819,12008
20190820,12064
20190821,12061
20190822,12181
20190823,12065
20190826,11810
20190827,11807
20190828,11796
20190829,11864
20190830,12009
20190902,12136
20190903,12123
20190904,11987
20190905,12297
20190906,12496
20190909,12571
20190910,12654
20190911,12697
20190912,12890
20190913,12979
20190917,13046
20190918,12939
20190919,12949
20190920,12790
20190924,12762
20190925,12629
20190926,12645
20190927,12697
20190930,12655
20191001,12661
20191002,12568
20191003,12402
20191004,12423
20191007,12449
20191008,12453
20191009,12401
20191010,12443
20191011,12609
20191015,12872
20191016,12920
20191017,13003
20191018,13049
20191021,13034
20191023,13145
20191024,13195
20191025,13249
20191028,13280
20191029,13369
20191030,13364
20191031,13359
20191101,13198
20191105,13619
20191106,13722
20191107,13663
20191108,13808
20191111,13623
20191112,13469
20191113,13417
20191114,13264
20191115,13196
20191118,13297
20191119,13289
20191120,13389
20191121,13337
20191122,13319
20191125,13367
20191126,13436
20191127,13361
20191128,13440
20191129,13446
20191202,13310
20191203,13260
20191204,13138
20191205,13212
20191206,13272
20191209,13309
20191210,13347
20191211,13342
20191212,13437
20191213,13738
20191216,13887
20191217,13922
20191218,14065
20191219,14187
20191220,14132
20191223,14129
20191224,14187
20191225,14155
20191226,14190
20191227,14243
20191230,14334
20200106,14242
20200107,14161
20200108,14054
20200109,14210
20200110,14389
20200114,14590
20200115,14535
20200116,14458
20200117,14528
20200120,14621
20200121,14566
20200122,14268
20200123,14326
20200124,14191
20200127,14083
20200128,13780
20200129,13870
20200130,13729
20200131,13443
20200203,13164
20200204,13198
20200205,13545
20200206,13702
20200207,13792
20200210,13607
20200212,13753
20200213,13875
20200214,13799
20200217,13786
20200218,13801
20200219,13668
20200220,13966
20200221,13909
20200225,13313
20200226,13162
20200227,12987
20200228,12680
20200302,12182
20200303,12418
20200304,12393
20200305,12514
20200306,12263
20200309,11381
20200310,10646
20200311,11091
20200312,10788
20200313,10011
20200316,10484
20200317,9659
20200318,9817
20200319,9306
20200323,9658
20200324,9170
20200325,9719
20200326,10057
20200327,10071
20200330,9730
20200331,9754
20200401,9873
20200402,9651
20200403,9866
20200406,9860
20200407,10143
20200408,10358
20200409,10393
20200410,10479
20200413,10448
20200414,10370
20200415,10424
20200416,10240
20200417,10204
20200420,10369
20200421,10294
20200422,10051
20200423,10145
20200424,10186
20200427,10062
20200428,10207
20200430,10547
20200501,10574
20200507,10144
20200508,10151
20200511,10364
20200512,10426
20200513,10312
20200514,10254
20200515,10218
20200518,10168
20200519,10398
20200520,10537
20200521,10606
20200522,10625
20200525,10365
20200526,10442
20200527,10574
20200528,10666
20200529,10627
20200601,10690
20200602,10885
20200603,11236
20200604,11463
20200605,11461
20200608,11759
20200609,11727
20200610,11653
20200611,11521
20200612,11159
20200615,11185
20200616,11043
