,date,dif
197,20201026,0.018116773283381727
198,20201027,0.017290415448217827
199,20201028,0.017187556557966138
200,20201029,0.01884812581253897
201,20201030,0.019395084193762194
202,20201102,0.019448034226375546
203,20201104,0.0227009381623834
204,20201105,0.02379431149770545
205,20201106,0.023509392841740112
206,20201109,0.020989925928612624
207,20201110,0.026184755429849514
208,20201111,0.026850670670539346
209,20201112,0.026549014267292493
210,20201113,0.02655891739954526
211,20201116,0.026463318457946496
212,20201117,0.02670425944895853
213,20201118,0.026304648849456786
214,20201119,0.026193924532822675
215,20201120,0.025594612116131607
216,20201124,0.026279386775099174
217,20201125,0.02605134752165083
218,20201126,0.02586929018436817
219,20201127,0.025883609514789643
220,20201130,0.026156831294291888
221,20201201,0.026389886514436255
222,20201202,0.026925328020791083
